reel,creator,hook,name,category,subcategory,destination,region,city,area,location_text,website,date_info,price_text,themes,confidence,saved_from,needs_location,needs_website,date_required,source_reel
DK1ksZissXc,thefloridaqueenie,Florida's best-kept sunset beach,Bean Point Beach,nature,beach,florida,Gulf Coast,Anna Maria,North Shore,"North Shore Dr. & Gladiolus St., Anna Maria Island, FL 34216",,,free,"hidden-gem, photo-spot, nature",high,5,Y,,Y,https://www.instagram.com/reel/DK1ksZissXc/
DMSzYRFMMlD,thefloridaqueenie,Free Mondays at a circus palace,The Ringling Museum,see-do,museum-gallery,florida,Gulf Coast,Sarasota,,"5401 Bay Shore Rd, Sarasota, FL 34243",https://www.ringling.org,Free on Mondays,free on Mondays,"free, bucket-list, day-trip",high,4,Y,Y,,https://www.instagram.com/reel/DMSzYRFMMlD/
DMSzYRFMMlD,thefloridaqueenie,Old Florida charm by golf cart,Boca Grande,itinerary,neighborhood-walk,florida,Gulf Coast,Boca Grande,,"Boca Grande Causeway, Gasparilla Island, FL",,,$6 causeway toll,"hidden-gem, day-trip, photo-spot",high,3,Y,,Y,https://www.instagram.com/reel/DMSzYRFMMlD/
DM_EeUuxtcZ,thefloridaqueenie,Fifteen underrated Florida stops ranked,Florida Hidden Gems Roundup,list,roundup,florida,,,,,,,,"hidden-gem, day-trip, bucket-list",medium,1,,,,https://www.instagram.com/reel/DM_EeUuxtcZ/
DMdpATJRWyf,thefloridaqueenie,Paddle through a reopened hidden pass,Midnight Pass,nature,hike-trail,florida,Gulf Coast,Sarasota,Siesta Key,"Turtle Beach Park, end of Midnight Pass Rd, Siesta Key, FL",,,free (kayak tours available on-site),"hidden-gem, nature, day-trip",high,1,Y,,,https://www.instagram.com/reel/DMdpATJRWyf/
DT5zIs9kQcU,thefloridaqueenie,A fairy-tale market in the mushroom woods,Mossy Hollow Market,see-do,experience,florida,,Plant City,,"1501 W State Rd 60, Plant City, FL 33567",,Seasonal/pop-up event; check for current dates,$10 entry; kids 12 & under free,"family, seasonal, day-trip",medium,1,Y,Y,,https://www.instagram.com/reel/DT5zIs9kQcU/
DTY1dBbEatR,thefloridaqueenie,Prehistoric shark teeth wash up here daily,Venice Beach,nature,beach,florida,Gulf Coast,Venice,,"Venice Beach, Venice, FL",,,free,"hidden-gem, nature, family, free",high,3,Y,,Y,https://www.instagram.com/reel/DTY1dBbEatR/
DTbaP_ukXrv,thefloridaqueenie,A little slice of Greece on the Gulf,Tarpon Springs Sponge Docks,itinerary,neighborhood-walk,florida,Gulf Coast,Tarpon Springs,Sponge Docks,"Dodecanese Blvd, Tarpon Springs, FL",,,,"hidden-gem, day-trip, food",high,2,Y,,Y,https://www.instagram.com/reel/DTbaP_ukXrv/
DTd_Ik2EUcp,thefloridaqueenie,Florida's grandest oceanfront palace,The Breakers Palm Beach,stay,resort,florida,,Palm Beach,,"1 South County Road, Palm Beach, FL 33480",https://www.thebreakers.com,,luxury pricing (bucket-list splurge),"luxury, bucket-list, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DTd_Ik2EUcp/
DTq3F1vERSj,thefloridaqueenie,Florida's deepest warm spring year-round,Warm Mineral Springs,nature,natural-landmark,florida,Gulf Coast,North Port,,"Warm Mineral Springs, North Port, FL",,,,"hidden-gem, nature",high,1,Y,,,https://www.instagram.com/reel/DTq3F1vERSj/
